customer_id,first_name,last_name,age,email,account_value
9001,Samantha,Phillips,52,samantha.phillips@hotmail.com,177447.13
9002,Andrew,Butler,55,andrew.butler@hotmail.com,87792.03
9003,Heather,Foster,28,heather.foster@outlook.com,83597.37
9004,Jose,Garcia,60,jose.garcia@hotmail.com,152233.8
9005,Nicole,Cole,64,nicole.cole@yahoo.com,114089.14
9006,Tiffany,Warren,45,tiffany.warren@company.com,68605.96
9007,Cameron,Carter,63,cameron.carter@hotmail.com,207135.44
9008,Kyle,Jordan,62,kyle.jordan@company.com,208443.04
9009,Joshua,Jenkins,69,joshua.jenkins@company.com,204421.76
9010,Ian,Ross,30,ian.ross@outlook.com,157212.83
9011,Victoria,Butler,50,victoria.butler@gmail.com,140607.39
9012,Joshua,Dixon,31,joshua.dixon@hotmail.com,244862.13
9013,John,Collins,63,john.collins@hotmail.com,142095.06
9014,Cynthia,Howard,51,cynthia.howard@gmail.com,87809.28
9015,Courtney,Ellis,43,courtney.ellis@gmail.com,190551.84
9016,Rebecca,Mills,32,rebecca.mills@enterprise.com,105813.0
9017,Sierra,Reynolds,66,sierra.reynolds@outlook.com,146694.88
9018,Brian,Nichols,54,brian.nichols@hotmail.com,91656.29
9019,Amber,Allen,41,amber.allen@outlook.com,82187.88
9020,Hunter,Hamilton,43,hunter.hamilton@hotmail.com,41527.13
9021,Brenda,Wright,26,brenda.wright@outlook.com,154212.41
9022,Noah,Ellis,67,noah.ellis@gmail.com,73608.32
9023,Jennifer,Gray,59,jennifer.gray@hotmail.com,239291.37
9024,Alexis,Ferguson,65,alexis.ferguson@yahoo.com,200642.82
9025,Andrea,Wells,53,andrea.wells@company.com,109272.29
9026,Trevor,Grant,52,trevor.grant@outlook.com,225091.5
9027,Chase,Hicks,61,chase.hicks@enterprise.com,209568.36
9028,Timothy,Johnson,28,timothy.johnson@gmail.com,221880.28
9029,Eric,Cook,60,eric.cook@yahoo.com,128275.09
9030,Anna,Hill,35,anna.hill@company.com,201553.99
9031,Cynthia,Brooks,52,cynthia.brooks@outlook.com,143430.88
9032,Victoria,Mitchell,43,victoria.mitchell@yahoo.com,33976.4
9033,Austin,Phillips,36,austin.phillips@yahoo.com,84297.08
9034,Chase,Gibson,61,chase.gibson@hotmail.com,203198.58
9035,Amanda,Peterson,45,amanda.peterson@hotmail.com,20624.6
9036,Joshua,Davis,52,joshua.davis@gmail.com,112496.12
9037,Jason,Long,48,jason.long@gmail.com,56843.3
9038,Jason,Freeman,56,jason.freeman@hotmail.com,29270.63
9039,Devin,Lewis,55,devin.lewis@yahoo.com,195763.32
9040,Stephanie,Butler,67,stephanie.butler@hotmail.com,246139.94
9041,Cole,Palmer,55,cole.palmer@gmail.com,30464.66
9042,Benjamin,Barnes,46,benjamin.barnes@outlook.com,206384.03
